SIMC_id;rodzaj;nazwa;czy_samodzielna;liczba_adresow;liczba_mieszkancow;powierzchnia;zageszczenie_ludnosci
772257;wieś;Gawliki Wielkie;True;116;383;20954500.17;0.0018277696766460262
489120;wieś;Gawrzyjałki;True;84;330;11802862.57;0.0027959319024757566
488881;wieś;Gągławki;True;48;264;5072716.33;0.005204312301847164
766854;przysiółek wsi;Gąsior;False;9;8;348120.94;0.0022980519356290375
113454;wieś;Gąsiorowo;True;28;197;6158587.19;0.0031987855967985407
486511;wieś;Gąsiorowo;True;34;52;3078893.56;0.0016889184048311172
771482;wieś;Gąsiorowo;True;3;9;3644351.13;0.00024695754275466864
484305;osada;Gąsiorowo Olsztyneckie;True;36;119;6518456.16;0.001825585646034321
771499;osada;Gąsiorówko;True;16;127;909503.69;0.013963659674651787
476085;kolonia;Żabino-Gąsiory;True;2;15;264884.14;0.005662853200648404
485486;osada;Gąski;True;1;3;216566.83;0.0013852536882033137
763360;wieś;Gąski;True;87;207;10137431.23;0.0020419374031107485
483056;wieś;Gązwa;True;38;123;8770575.19;0.0014024165728633358
469470;część wsi;Zalewska Góra;False;1;6;995663.08;0.0006026134864817927
765100;wieś;Gębałka;True;20;70;5972846.66;0.0011719704855105053
772576;osada;Gębałki;True;1;22;5594632.19;0.00039323407246187527
484854;wieś;Gębiny;True;3;16;4537721.58;0.000352599861360379
469145;osada;Gęsie Góry;True;14;164;8141149.87;0.002014457449117074
469168;wieś;Gęsiki;True;15;86;9027447.37;0.0009526502506765653
471700;osada leśna;Gęsikowo;True;3;0;294460.39;0.0
469174;przysiółek wsi;Gęsiniec Wielki;False;4;14;1379794.67;0.001014643722315582
484268;osada leśna;Gibała;True;1;0;749893.21;0.0
477050;wieś;Giedajty;True;244;535;6540740.07;0.008179502537546948
151638;kolonia;Giedawy;True;2;8;1911859.05;0.0004184408887255574
153778;wieś;Gieduty;True;2;14;4442485.61;0.0003151388936069058
155352;wieś;Giedyle;True;2;10;6855551.05;0.00014586719473119524
488183;część wsi;Gieląd Mały;False;11;1;1143972.95;8.741465434125868e-05
478747;przysiółek wsi;Giełpsz;False;6;25;1668361.34;0.0014984763432602675
758576;osada;Gieraliszki;True;9;34;4210250.29;0.0008075529400414814
487404;osada;Gierkiny;True;15;121;8041781.24;0.0015046417751100128
484937;osada;Gierłoż;True;19;74;15006867.64;0.0004931075676496071
477498;osada leśna;Gierłoż;True;2;22;27353.05;0.08042978753740443
480224;wieś;Gierłoż Polska;True;28;125;3259131.15;0.0038353780270548488
474755;wieś;Gierzwałd;True;116;722;12148494.67;0.005943123157331887
473589;wieś;Gietrzwałd;True;222;559;12364718.68;0.0045209277660654395
754791;wieś;Giętkie;True;25;44;4538927.37;0.0009693920262046405
