SIMC_id;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
758240;68204257.39;9101570.86;2.0244318849861602;0.27015190777733505;204;0;5;6;11;19;1;3;3;925;0;1;6;16;5;1;5;1;1;1;10
758263;97358.65;2650823.7;0.24914800105730703;6.783654313307904;4;0;0;0;0;1;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0
758270;21055413.419999998;1258076.6199999999;4.164703694063357;0.2488441448388688;80;0;0;0;0;0;0;0;0;54;0;0;1;0;0;0;0;0;0;0;0
758286;10071899.23;5100994.64;0.8551643112989574;0.43310486618671945;52;0;2;10;1;5;0;0;3;168;0;3;11;1;0;0;6;0;0;1;1
758292;730291.99;312874.60000000003;0.9418813617832172;0.4035245605191143;6;0;0;0;0;1;0;0;0;47;0;0;1;0;0;0;0;0;0;0;0
758300;145130.84;914615.4099999999;0.4022516204163592;2.5349920852816172;13;0;2;4;0;2;0;0;3;38;0;0;7;1;0;0;5;0;0;1;1
758317;8987061.83;2277220.48;1.6546683592860552;0.4192743687148086;13;0;0;6;1;0;0;0;0;2;0;2;3;0;0;0;0;0;0;0;0
758323;37292971.96;4472739.15;5.168182942300217;0.6198469300108946;37;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;1
758330;41448295.269999996;11368257.719999999;4.581077446642026;1.2564779494417577;30;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
758352;4926170.88;5939507.43;0.7279977785577005;0.8777503501394894;8;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
