SIMC_id;liczba_budynkow;powierzchnia_budynkow;gestosc_zabudowy;srednia_liczba_kondygnacji;nna_index;srednia_odleglosci;odchylenie_standardowe;wspolczynnik_zmiennosci;min_odleglosc;max_odleglosc;min_max_rozstep
473589;429;87483.13;0.7075222030041367;1.4707259953161593;0.34384828731088957;1490.4928046317168;1052.5709552093197;70.61898936636581;5.77456960076621;4870.814682719992;4870.814682719992
473603;12;3910.38;0.2641107035293628;1.6666666666666667;0.28051688228841004;168.42720534796925;111.70606318801121;66.32305212048576;22.249891311326635;454.97056558260664;454.97056558260664
473610;253;34701.4;0.290911871844269;1.6640316205533596;0.28210782010166785;1054.1220716492671;727.4777319396987;69.01266480470288;5.700329696679506;3140.1284333430776;3140.1284333430776
473626;61;9163.94;0.10368413493625393;1.3934426229508197;0.14903847782384305;563.3827457478956;363.07324006842276;64.44521824793193;5.700329696679506;1452.3670350625634;1452.3670350625634
473632;148;11573.15;0.13342669353120426;1.75;0.22377711382935053;660.7287389763493;483.46122320725146;73.17090882958504;6.9900979731612045;1921.4843960852852;1921.4843960852852
473649;21;2029.96;0.30073037737102426;1.7619047619047619;0.35584384579841305;270.0595797155814;193.09353551335423;71.50034659637497;6.9900979731612045;635.4232899028372;635.4232899028372
473655;20;2389.93;0.05971266468532576;1.3;0.11539226368963548;248.46936448879111;216.75278471129707;87.2352151571085;8.24853568543653;643.490974572495;643.490974572495
473661;9;1158.82;0.07792843068312423;1.4444444444444444;0.5578135304786829;237.60171642791536;279.1139724177125;117.47136199766945;13.460331849221067;886.7326728471996;886.7326728471996
473678;70;14416.97;0.11911788059381008;1.5797101449275361;0.30470344875211464;1272.7646182775627;1083.075554771382;85.09629661430347;5.376153616039381;4458.166302007355;4458.166302007355
473684;10;1134.16;0.03885737886210598;1.6;0.6571416161608721;355.80762645387404;518.6204217646349;145.75865810787153;8.243650770317327;1535.1226816574424;1535.1226816574424
473690;6;1303.89;0.04680298924036289;1.8333333333333333;0.08311945767290946;108.98444695444513;87.9679863959591;80.71609193257568;9.383352759039111;237.48455689368672;237.48455689368672
473709;11;2530.6400000000003;0.18405927700206234;1.5454545454545454;0.12301320717662159;63.298819672602264;40.333520792480606;63.71923047079855;5.868704130613929;133.21730902022594;133.21730902022594
473715;198;24768.25;0.9718796630810368;1.6868686868686869;0.5073351397231107;774.1065337490813;403.60524476275;52.138204131677625;6.721871101914201;1898.3003918410534;1898.3003918410534
473721;205;27140.28;0.46438626718710446;1.5853658536585367;0.3404560206317081;983.4644828117449;720.935100965155;73.30565704863962;5.3119855351733;2629.783994825516;2629.783994825516
473738;326;46836.25;1.1456561965111502;1.6901840490797546;0.47794430789358544;909.5476453844683;550.7152246033094;60.54825466240644;5.666150961950737;2459.6248766416566;2459.6248766416566
473744;46;4178.53;0.030082033588176158;1.608695652173913;0.1166822441237132;790.6943284080947;769.7386256012678;97.34970872384818;6.548009239244638;2774.750202235286;2774.750202235286
473750;7;684.67;0.053724320187689155;1.4285714285714286;0.09634163235111201;142.34386892030236;116.96132754204699;82.16815267788813;16.381119482693165;314.3442790114244;314.3442790114244
473767;80;10221.25;0.08322803905795281;1.4375;0.20519017038028659;848.9139747853736;809.4121871846853;95.34678556673833;5.776850739975992;3742.438996748507;3742.438996748507
473773;9;1423.26;0.4992320491780364;1.5555555555555556;0.35400450394555527;112.06405950540346;76.9452628297715;68.66185570054365;15.615158252216553;259.9864526558371;259.9864526558371
473780;36;8735.23;0.2335985647055185;1.3333333333333333;0.41229200778293446;202.96771643178658;266.07823743958625;131.09387153646665;13.813315137699105;1432.209319215214;1432.209319215214
473796;3;299.27;0.008564019655448143;1.3333333333333333;0.05931403993873422;22.844136324205564;16.350070762975992;71.57228678263277;29.89220223283842;36.66657070732134;36.66657070732134
473804;47;5722.49;0.23089520043350348;1.5319148936170213;0.30032320221156783;376.88019487014225;296.29656667841476;78.61823749600497;8.733121257235114;1424.0412390666095;1424.0412390666095
473810;97;10634.64;0.33175083504059516;1.4948453608247423;0.29563657023071976;558.4264966385053;383.00714701938483;68.58685061058674;6.841500805444311;2092.6043884371634;2092.6043884371634
473827;6;565.55;0.5100322730349621;1.5;0.3298013387925428;49.16507682248746;39.65912854355592;80.66524270214576;17.19029699028424;116.96471929557522;116.96471929557522
473833;669;90568.43;0.6814865469183726;1.654191616766467;0.3831546658170762;1682.7026857409978;973.1534904211529;57.832765031370556;4.594350265314017;5858.190996635927;5858.190996635927
473840;161;17710.91;2.617339567434077;1.6645962732919255;0.7788367134224128;497.7286877060229;319.40431563123326;64.17237413084081;6.984249349932982;1645.8388650886525;1645.8388650886525
473856;48;4223.18;0.17245977004190627;1.4791666666666667;0.24911961350379885;440.65648065159974;501.52943601902086;113.81415184848936;7.083066936752408;2413.925719119933;2413.925719119933
473862;95;11825.27;0.3549037155748855;1.368421052631579;0.29727084702830436;666.1733844607963;495.6170729630795;74.39760946982807;7.533764430420291;2183.273368522861;2183.273368522861
473879;372;52823.7;0.23746455496932137;1.5256064690026954;0.22797017566756128;1456.1840701705369;863.198396580168;59.278110114133916;5.320703410156893;5158.5951921845235;5158.5951921845235
473885;10;2536.58;0.22503429679780837;1.6;0.3151205027970764;449.12388066134366;319.29518452499883;71.09289847933057;18.210737884552262;1052.9139712089082;1052.9139712089082
473891;479;51285.25;0.35625371152681773;1.5073068893528183;0.32437012471418153;1421.3558745659;834.2995380504397;58.697441856723266;4.972707569625633;4400.145389785907;4400.145389785907
473900;146;8864.77;0.22113951546364105;1.1095890410958904;0.2013374905199414;256.875803623013;164.001776152957;63.84477394906509;5.38834340454306;797.4105405787867;797.4105405787867
473916;40;6131.67;0.06157829914725614;1.25;0.09609290005230073;324.92932892785177;282.8857686308594;87.06070626627618;8.599348499567673;1172.794821573464;1172.794821573464
473922;6;2310.26;0.07704249782511997;1.5;0.04979613294324799;84.63782181660913;69.33960364197378;81.92508048259666;11.398657117293459;191.6645170171793;191.6645170171793
473939;45;9149.2;0.1435683928756823;1.4222222222222223;0.13913203120070822;184.2989327340961;147.27335787163122;79.91004380047883;7.1751378626683024;616.9153814280011;616.9153814280011
473945;41;5834.71;0.17510772256175303;1.3414634146341464;0.16459544998050676;514.6889925872448;302.0136769675457;58.678868465668884;7.103409094417738;1189.1454559558977;1189.1454559558977
