SIMC_id;nazwa;aktualny_rodzaj;Prawdopodobieństwo wieś;Prawdopodobieństwo osada;Prawdopodobieństwo osada leśna;Prawdopodobieństwo kolonia;Proponowany rodzaj (indeks);Proponowany rodzaj
486920;Bertyny;przysiółek wsi;0.511;0.407;0.003;0.078;0;wieś
486936;Mała Bertynówka;przysiółek wsi;0.886;0.004;0.001;0.109;0;wieś
486965;Staniewo;przysiółek wsi;0.502;0.442;0.021;0.034;0;wieś
486971;Stąpławki;przysiółek wsi;0.828;0.123;0.018;0.032;0;wieś
487189;Pudwągi;przysiółek wsi;0.312;0.512;0.159;0.017;1;osada
487999;Maradzki Chojniak;część wsi;0.969;0.023;0.002;0.007;0;wieś
488183;Gieląd Mały;część wsi;0.976;0.021;0.002;0.0;0;wieś
488190;Nowy Gieląd;część wsi;0.996;0.003;0.0;0.001;0;wieś
488214;Szelągówka;część wsi;0.996;0.003;0.0;0.002;0;wieś
488266;Zamkowo;część wsi;0.762;0.107;0.083;0.049;0;wieś
488421;Lipowo;część wsi;0.992;0.007;0.0;0.002;0;wieś
488444;Kaczory;część wsi;0.984;0.011;0.001;0.004;0;wieś
488450;Księży Dwór;część wsi;0.286;0.559;0.011;0.144;1;osada
488473;Lesieniec;część wsi;0.382;0.449;0.018;0.15;1;osada
488480;Pyszki;część wsi;0.92;0.072;0.001;0.006;0;wieś
488496;Rybakowo;część wsi;0.995;0.004;0.0;0.001;0;wieś
488504;Złote Pole;część wsi;0.994;0.004;0.0;0.002;0;wieś
488533;Podlasie;część wsi;0.998;0.001;0.0;0.0;0;wieś
488540;Siemkowo;część wsi;0.993;0.003;0.0;0.004;0;wieś
488556;Silecki Folwark;część wsi;0.994;0.004;0.0;0.002;0;wieś
488579;Dolny Siniec;część wsi;0.551;0.195;0.002;0.252;0;wieś
488585;Różanka-Leśniczówka;część wsi;0.99;0.009;0.0;0.001;0;wieś
488591;Rypławki;część wsi;0.954;0.008;0.001;0.036;0;wieś
488600;Siniec-Cegielnia;część wsi;0.977;0.02;0.0;0.003;0;wieś
