SIMC_id;rodzaj;nazwa;czy_samodzielna;liczba_adresow;liczba_mieszkancow;powierzchnia;zageszczenie_ludnosci;liczba_budynkow;powierzchnia_budynkow;gestosc_zabudowy;srednia_liczba_kondygnacji;nna_index;srednia_odleglosci;odchylenie_standardowe;wspolczynnik_zmiennosci;min_odleglosc;max_odleglosc;min_max_rozstep;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
518300;wieś;Antonia;True;10;35;1495145.4;0.002340909452686;38.0;4755.52;0.3180640491553531;1.263157894736842;0.2206655955302716;575.972357529332;373.74824280245394;64.88996180401251;7.744229709725285;1120.7322860845145;1120.7322860845145;7103725.78;1429518.9900000002;4.751193950768935;0.9561070047100438;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
482364;osada;Antoniewo;True;63;147;5170464.17;0.0028430716308396;107.0;15916.87;0.3078421874065515;1.4018691588785046;0.3620415857347857;983.5149016396578;777.3695151526917;79.03993257821588;5.579298962052966;3514.9142840519226;3514.9142840519226;7086503.45;9464890.91;1.3705739401729575;1.8305689003546464;38.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;62.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
757855;wieś;Antonowo;True;76;201;36544658.74;0.0005500119769349;579.0;107558.3;0.2943201652674674;1.1796200345423142;0.1991173215911859;1826.9964961489443;1090.8501002094702;59.70729021696709;4.443199727421343;6335.329436089774;6335.329436089774;17071644.66;12875360.95;0.4671447278098183;0.3523185437741482;173.0;0.0;1.0;4.0;3.0;2.0;0.0;1.0;3.0;368.0;0.0;0.0;9.0;9.0;0.0;0.0;3.0;0.0;1.0;0.0;2.0
764128;osada;Anuszewo;True;7;17;3273972.55;0.0005192468702891;28.0;2522.03;0.0770327167220751;1.0357142857142858;0.1141582244005767;264.9882349556288;283.5389699999523;107.00058817608628;12.002863334671677;1041.1852653269805;1041.1852653269805;3154865.98;77618410.64;0.963620168409781;23.707715765668222;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
468950;osada;Aptynty;True;13;157;3622406.82;0.0043341349495361;61.0;22064.0;0.6090977931628342;1.147540983606557;0.2133590718929286;274.4111966891253;192.8769802310587;70.2875766580199;5.136784243745294;786.7635341913195;786.7635341913195;132459188.97;170252.65;36.56662422306283;0.0469998701029389;37.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0
470250;wieś;Ardapy;True;17;46;2646914.87;0.0017378722875209;68.0;9231.63;0.3487694336010133;1.2205882352941178;0.1921465509553174;380.49267429477135;354.22161150712594;93.09551416821944;8.332160565364088;1386.374883029266;1386.374883029266;37044371.830000006;1502794.1;13.995301567821109;0.5677530913565043;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
468967;osada;Arklity;True;7;68;255217.57;0.026643933644537;32.0;20705.52;8.112889719935817;1.09375;0.8897247700322611;270.62045380898724;177.76738743178893;65.68882171680303;24.311416632922025;626.3627502332283;626.3627502332283;122498761.02;488791.13;479.9777735521892;1.9151938873173973;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
468980;wieś;Asuny;True;25;62;3210250.0;0.0019313137606105;79.0;10488.84;0.3267296939490693;1.1025641025641026;0.2194703963009094;350.42105969168443;243.25001339590412;69.41649386310458;3.8179847560610094;1282.030560303936;1282.030560303936;125717412.61;221502.28;39.16125305194299;0.0689984518339693;49.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0
753969;wieś;Audyniszki;True;4;9;4042407.8;0.0002226395862386;11.0;1238.02;0.0306258067283563;1.0909090909090908;0.0677305934452574;449.0953600981119;409.3735726692736;91.15515523915448;10.126824442728877;994.8089404942352;994.8089404942352;26492382.68;10950423.0;6.553614575946543;2.708886273176101;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
473916;wieś;Augamy;True;12;42;9957517.64;0.0004217918714126;40.0;6131.67;0.0615782991472561;1.25;0.0960929000523007;324.92932892785177;282.8857686308594;87.06070626627618;8.599348499567673;1172.794821573464;1172.794821573464;85565474.89999999;14399225.34;8.593052806281545;1.446065762631177;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
